"filename", "language", "C#", "comment", "blank", "total"
"e:\Github\erumperem\Assets\_Project\Scripts\Token\Contracts\Execution\ITokenExecutionTrigger.cs", "C#", 5, 2, 3, 10
"e:\Github\erumperem\Assets\_Project\Scripts\Token\Contracts\Stacking\DiminishingStackData.cs", "C#", 16, 3, 4, 23
"e:\Github\erumperem\Assets\_Project\Scripts\Token\Contracts\Stacking\GlobalRefreshStackData.cs", "C#", 16, 3, 4, 23
"e:\Github\erumperem\Assets\_Project\Scripts\Token\Contracts\Stacking\IndependentStackData.cs", "C#", 9, 3, 3, 15
"e:\Github\erumperem\Assets\_Project\Scripts\Token\Contracts\Stacking\LinearStackData.cs", "C#", 16, 3, 4, 23
"e:\Github\erumperem\Assets\_Project\Scripts\Token\Contracts\Stacking\RefreshDurationStackData.cs", "C#", 16, 3, 4, 23
"e:\Github\erumperem\Assets\_Project\Scripts\Token\Contracts\Stacking\TokenStackData.cs", "C#", 9, 2, 3, 14
"e:\Github\erumperem\Assets\_Project\Scripts\Token\Contracts\Synergies\IAbsorptionSynergy.cs", "C#", 29, 5, 4, 38
"e:\Github\erumperem\Assets\_Project\Scripts\Token\Contracts\Synergies\IAdditiveSynergy.cs", "C#", 33, 6, 7, 46
"e:\Github\erumperem\Assets\_Project\Scripts\Token\Contracts\Synergies\IAmplificationSynergy.cs", "C#", 37, 8, 7, 52
"e:\Github\erumperem\Assets\_Project\Scripts\Token\Contracts\Synergies\ICancellationSynergy.cs", "C#", 31, 3, 6, 40
"e:\Github\erumperem\Assets\_Project\Scripts\Token\Contracts\Synergies\IConditionalSynergy.cs", "C#", 45, 9, 6, 60
"e:\Github\erumperem\Assets\_Project\Scripts\Token\Contracts\Synergies\IConversionSynergy.cs", "C#", 41, 9, 6, 56
"e:\Github\erumperem\Assets\_Project\Scripts\Token\Contracts\Synergies\IEvolutionSynergy.cs", "C#", 46, 3, 7, 56
"e:\Github\erumperem\Assets\_Project\Scripts\Token\Contracts\Synergies\IImmunitySynergy.cs", "C#", 26, 4, 5, 35
"e:\Github\erumperem\Assets\_Project\Scripts\Token\Contracts\Synergies\IInversionSynergy.cs", "C#", 35, 6, 6, 47
"e:\Github\erumperem\Assets\_Project\Scripts\Token\Contracts\Synergies\IOverrideSynergy.cs", "C#", 33, 4, 6, 43
"e:\Github\erumperem\Assets\_Project\Scripts\Token\Contracts\Synergies\IPassiveSynergy.cs", "C#", 37, 9, 6, 52
"e:\Github\erumperem\Assets\_Project\Scripts\Token\Contracts\Synergies\IResistanceSynergy.cs", "C#", 31, 7, 6, 44
"e:\Github\erumperem\Assets\_Project\Scripts\Token\Contracts\Synergies\IReverseableSynergy.cs", "C#", 10, 2, 2, 14
"e:\Github\erumperem\Assets\_Project\Scripts\Token\Contracts\Synergies\ISpreadSynergy.cs", "C#", 38, 4, 6, 48
"e:\Github\erumperem\Assets\_Project\Scripts\Token\Contracts\Synergies\ITokenSynergy.cs", "C#", 10, 2, 3, 15
"e:\Github\erumperem\Assets\_Project\Scripts\Token\Contracts\Synergies\ITransformationSynergy.cs", "C#", 36, 3, 4, 43
"e:\Github\erumperem\Assets\_Project\Scripts\Token\Testes\ApplyingTokenTest.cs", "C#", 166, 57, 51, 274
"e:\Github\erumperem\Assets\_Project\Scripts\Token\Testes\ContainerVisualizationTest.cs", "C#", 45, 0, 5, 50
"Total", "-", 2000, 538, 427, 2965
